  Table : gident_346.tfits 
 Sequence  CENTER       INT        FWHM       FLUX      
 -------- ------------ ---------- ---------- ----------
        1  3142.676758   46.09760    0.07302    1.54739
        2  3143.375732   29.16128    0.06373    1.02594
        3  3143.682373   32.40435    0.12359    1.09729
        4  3144.085693   48.72900    0.09538    1.95360
        5  3145.514160   67.03481    0.08355    2.22973
        6  3145.924805   43.12333    0.06545    1.50563
        7  3147.214844   29.65050    0.04136    0.86470
        8  3147.787354   46.87756    0.09094    1.73710
        9  3147.985352   27.22507    0.06589    0.91105
       10  3148.199463   48.95406    0.06558    1.53838
       11  3150.487305   39.25487    0.12280    1.31000
       12  3150.696533   26.48380    0.07166    0.88764
       13  3150.911377   43.60234    0.08180    1.50381
       14  3153.661621   23.57990    0.16319    0.77704
       15  3153.835938   23.98735    0.05981    0.80709
       16  3154.078857   33.04528    0.08747    1.25770
       17  3164.051758   27.97645    0.04504    1.06267
       18  3169.609619   24.62984    0.09226    0.82338
       19  3171.659424   22.87792    0.08978    0.79463
       20  3209.482666   32.68664    0.08189    1.08302
       21  3209.766602   27.10548    0.28480    0.91398
       22  3210.760254   25.88823    0.06037    0.88232
       23  3211.751953   33.16486    0.10430    1.27540
       24  3211.979492   21.87175    0.08224    0.70916
       25  3212.183350   39.44051    0.08888    1.39146
       26  3213.602539   36.18495    0.08085    1.31914
       27  3213.808350   21.60758    0.06839    0.76307
       28  3214.034668   34.09688    0.07389    1.13448
       29  3215.884766   31.11497    0.09007    1.05947
       30  3216.075439   17.71808    0.08558    0.62738
       31  3216.311768   33.19073    0.08306    1.11901
       32  3218.574707   23.28710    0.08205    0.73301
       33  3218.639648   20.21218    0.07580    0.57102
       34  3218.789795   16.19419    0.06666    0.51557
       35  3219.034912   29.00671    0.07467    1.11935
       36  3221.721680   21.64105    0.06484    0.78100
       37  3221.894287   18.92925    0.22242    0.48676
       38  3222.201660   17.85936    0.12817    0.70798
       39  3229.870605   21.29176    0.06376    0.68437
       40  3236.304688   14.37963    0.06130    0.49559
       41  3236.502441   16.33136    0.06167    0.54351
       42  3238.817139   14.11135    0.08497    0.42797
       43  3258.510010   12.63986    0.10859    0.41826
       44  3258.725098   12.28941    0.06627    0.43013
       45  3258.867920   17.76428    0.07877    0.69433
       46  3260.351807   11.93017    0.05063    0.41081
       47  3260.523682   19.74797    0.08611    0.64246
       48  3260.972412   10.78359    0.06599    0.36093
       49  3262.267578   19.91712    0.06450    0.74004
       50  3262.473877   15.43165    0.06039    0.55824
       51  3262.695312   20.75916    0.10661    0.83250
       52  3264.966064   19.55019    0.08025    0.68531
       53  3265.161621   14.67334    0.10722    0.59779
       54  3265.382080   21.98930    0.06274    0.86007
       55  3267.065186   12.90783    0.08665    0.48531
       56  3268.623047   25.96976    0.07256    1.05075
       57  3271.892090   20.85346    0.26941    0.73372
       58  3276.115234   18.17829    0.08254    0.82372
       59  3276.334717   18.97957    0.08251    0.86045
       60  3280.883545   10.79111    0.05722    0.45798
       61  3281.001221    7.92979    0.04804    0.29208
       62  3281.135498   12.47922    0.12790    0.54003
       63  3281.398438   10.14572    0.22750    0.42328
       64  3281.595459    8.92736    0.10519    0.33131
       65  3281.798828    7.03336    0.06102    0.25848
       66  3285.747803   16.25430    0.08648    0.69258
       67  3286.704834   15.69564    0.10762    0.62030
       68  3286.945068    9.69174    0.06744    0.33224
       69  3287.174561   14.53916    0.05979    0.53239
       70  3288.578613   14.52768    0.07843    0.53567
       71  3288.816650    9.09412    0.07740    0.37296
       72  3289.028564   13.12467    0.06482    0.55427
       73  3290.877930   13.15653    0.06651    0.58129
       74  3292.840576   17.52893    0.03320    0.55253
       75  3293.126709   17.89906    0.05909    0.70154
       76  3295.237793   21.58994    0.12075    0.93485
       77  3295.456055   18.84770    0.08522    0.69773
       78  3295.656006   21.28632    0.08916    0.94800
       79  3297.191650   31.65725    0.09450    1.27617
       80  3297.632080   24.76225    0.11310    1.04391
       81  3299.614258   22.62016    0.09700    0.97436
       82  3300.062012   23.09370    0.09075    1.04386
       83  3302.520020   17.38976    0.29693    0.64575
       84  3302.701660   13.95296    0.08478    0.58135
       85  3302.960449   22.44642    0.07356    0.98858
       86  3305.855225   17.65320    0.09217    0.73401
       87  3306.077393   13.58530    0.06780    0.58006
       88  3306.343750   17.95746    0.07749    0.84022
       89  3309.683838   13.74057    0.06699    0.59249
       90  3309.917480   10.91239    0.07324    0.45084
       91  3310.162598   18.84905    0.10264    0.83381
       92  3310.420654   11.90436    0.08744    0.48370
       93  3310.859375   11.74581    0.05723    0.47966
       94  3311.440430    9.46076   -0.06130    0.36651
