     x            y         ra           dec
531.1597900  33.4750137 319.9252478  22.0623914
837.4859009  28.0257874 319.8595317  22.0634394
112.5955887  22.9658718 320.0150446  22.0645251
456.3846741  18.4077892 319.9412914  22.0653919
366.9073792  15.0763035 319.9604875  22.0660635
 91.9367447  14.9124403 320.0194776  22.0661267
989.9158936  13.9965677 319.8268323  22.0662085
892.4552002  13.0220213 319.8477409  22.0664129
208.9621277   6.5235748 319.9943729  22.0677796
 75.3733444   9.9458475 320.0230316  22.0671149
823.1915283   7.5828032 319.8626008  22.0675008
787.1748047   8.6442757 319.8703274  22.0672940
108.3373337   7.7296371 320.0159600  22.0675513
662.6870728   9.2465506 319.8970340  22.0671883
341.1145935   8.6512432 319.9660217  22.0673423
866.1508179   9.2022562 319.8533845  22.0671744
560.3285522   6.4009805 319.9189935  22.0677648
130.3584747   7.2641001 320.0112358  22.0676413
913.6162109   5.9505057 319.8432020  22.0678148
517.3294678   5.3037281 319.9282184  22.0679875
999.4270020   2.6702344 319.8247933  22.0684567
492.4743958   1.8250639 319.9335510  22.0686811
373.4397278   2.2378526 319.9590877  22.0686124
888.2656860   2.1078966 319.8486410  22.0685808
 42.5727463   1.7535009 320.0300694  22.0687455
318.7808228   1.3968954 319.9708139  22.0687855
482.4536438 981.7460327 319.9355793  21.8740803
944.7746582 1019.6309204 319.8363918  21.8665052
721.4841309 1023.0839233 319.8842944  21.8658444
447.3834229 1022.9538574 319.9430978  21.8659008
309.1723328 1023.6831665 319.9727485  21.8657714
284.3805847 1016.0443115 319.9780681  21.8672911
186.4702759 1023.0418091 319.9990721  21.8659124
196.2284241 1018.9472656 319.9969792  21.8667245
 25.7765942 1022.4005737 320.0335461  21.8660577
  7.8475642 991.8128662 320.0373963  21.8721341
505.1475830 990.0186157 319.9307097  21.8724349
929.9544678 988.4942627 319.8395751  21.8726903
425.4618225 984.9390869 319.9478055  21.8734526
941.0808105 986.9952393 319.8371883  21.8729867
946.3773804 985.9525146 319.8360522  21.8731932
702.6470337 978.8980103 319.8883411  21.8746214
692.7752075 978.5673218 319.8904589  21.8746881
389.2127075 983.7996826 319.9555822  21.8736829
558.1518555 984.3076782 319.9193392  21.8735632
464.3475952 982.3406372 319.9394635  21.8739643
795.2621460 981.0712891 319.8684719  21.8741794
811.7219238 980.8884888 319.8649407  21.8742139
